Nome,Superficie (km²),Altitudine (m s.l.m.),Latitudine,Longitudine
Lago di Resia,6.6,1498,46.8295,10.5286
Lago di Caldaro,1.47,216,46.3748,11.2492
Lago di Braies,0.31,1496,46.6996,12.0843
Lago di Carezza,0.05,1520,46.4093,11.5751
Lago di Anterselva,0.44,1642,46.8980,12.2011
Lago di Dobbiaco,0.14,1259,46.7263,12.2308
Lago di Vernago,0.1,1707,46.6846,10.8681
Lago di Valdurna,0.11,1538,46.7921,11.3287
Lago di Zoccolo,0.93,1135,46.5365,11.0325
Lago di Neves,0.52,1860,46.9316,11.7958
